abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
ACP,"African, Caribbean, and Pacific Countries",1976-04-01,,,,,,"East Timor\Sao Tome and Principe\Guinea-Bissa\Ethiopia\Swaziland\Bahamas\The\Rwanda\Togo\Cape Verde\Dominica\Liberia\Micronesia\Federated States of\Tanzania\Niue\Senegal\Jamaica\Congo\Republic of the\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Mauritania\Solomon Islands\Somalia\Seychelles\u""Cote dIvoire""\Cook Islands\Benin\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\Dominican Republic\Ghana\Tonga\Central African Republic\Mauritius\Mali\Angola\Chad\South Africa\Barbados\Uganda\Niger\Guinea\Congo\Democratic Republic of the\Pala\Nigeria\Tuval\Marshall Islands\Kiribati\Haiti\Belize\Sierra Leone\Namibia\Grenada\Djibouti\Antigua and Barbuda\Burundi\Fiji\Madagascar\Sudan\Vanuat\Suriname\Naur\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Eritrea\Guyana\Equatorial Guinea\Botswana\Gambia\The\Gabon\Comoros",84,759271130,1564090,5798,80.76046167310578,11693.439006739996,10176.68043084,2.696713735E12
AfDB,African Development Bank,1963-08-04,POINT(-4.026666666 5.336388888),-4.026666666000001,"5.336388888, -4.026666666",5.336388888,Abidjan,"Canada\Sao Tome and Principe\Guinea-Bissa\Ethiopia\Swaziland\Argentina\Saudi Arabia\Rwanda\Togo\Japan\Cape Verde\Kuwait\Liberia\Tanzania\Senegal\Congo\Republic of the\India\Lesotho\Kenya\Mauritania\France\Somalia\Seychelles\Norway\u""Cote dIvoire""\Benin\Cameroon\Burkina Faso\China\Ghana\Finland\Libya\Central African Republic\Mauritius\Mali\United States\Angola\Chad\South Africa\Sweden\Austria\Uganda\Niger\Brazil\Guinea\Congo\Democratic Republic of the\Nigeria\Algeria\Belgium\Sierra Leone\Denmark\Namibia\Morocco\Switzerland\Portugal\Korea\South\Tunisia\Djibouti\Spain\Burundi\Madagascar\Italy\Sudan\Netherlands\Zambia\Mozambique\Malawi\Zimbabwe\Germany\Eritrea\Equatorial Guinea\Egypt\Botswana\United Kingdom\Gambia\The\Gabon\Comoros",81,4367662317,13156050,7420,132.00933640778314,12984.917682429998,11341.872777680002,2.750934113E12
ACCT,Agency for Cultural and Technical Cooperation,1970-03-21,,,,,,"Canada\Sao Tome and Principe\Guinea-Bissa\Lithuania\Cambodia\Rwanda\Togo\Cape Verde\Dominica\Vietnam\Monaco\Senegal\Albania\Congo\Republic of the\Saint Lucia\Mauritania\France\Laos\Seychelles\u""Cote dIvoire""\Benin\Cameroon\Burkina Faso\Central African Republic\Mauritius\Mali\Bulgaria\Romania\Chad\Niger\Guinea\Congo\Democratic Republic of the\Luxembourg\Czech Republic\Belgium\Haiti\Poland\Moldova\Morocco\Switzerland\Lebanon\Tunisia\Djibouti\Burundi\Madagascar\Vanuat\Macedonia\Equatorial Guinea\Egypt\Gabon\Comoros",53,654689696,1907662,695,66.40545338262412,8353.38796566,7297.03082248,2.695940505E12
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,1967-02-14,,,,,,Argentina\Bolivia\Guatemala\Dominica\Jamaica\Nicaragua\Saint Vincent and the Grenadines\Saint Lucia\Per\Cuba\Saint Kitts and Nevis\Barbados\Panama\Costa Rica\Ecuador\El Salvador\Chile\Belize\Mexico\Uruguay\Antigua and Barbuda\Colombia\Suriname\Venezuela\Trinidad and Tobago\Paraguay\Guyana,27,336783431,1237970,1234,22.45608688519946,3169.7480480100003,2918.0816536499997,1.1717483E10
AG,Andean Group,1969-05-26,POINT(-77.033333333 -12.05),-77.033333333,"-12.05, -77.033333333",-12.05,Lima,,0,0,0,0,0.0,0.0,0.0,0.0
ABEDA,Arab Bank for Economic Development in Africa,1974-02-18,POINT(32.52654 15.60308),32.526540000000004,"15.60308, 32.52654",15.603079999999999,Khartoum,Bahrain\Saudi Arabia\Togo\Kuwait\Jordan\Oman\United Arab Emirates\Mauritania\France\Cameroon\Libya\Qatar\Malaysia\Algeria\Morocco\Croatia\Iraq\Lebanon\Tunisia\Madagascar\Sudan\Syria\Honduras\Egypt,24,420377099,2159750,8222,76.62458857702106,3431.7932347399997,3781.32752,1.4464873E10
ACC,Arab Cooperation Council,1989-02-16,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
AFESD,Arab Fund for Economic and Social Development,1968-05-16,POINT(47.98 29.375),47.98,"29.375, 47.98",29.375,Kuwait City,Bahrain\Saudi Arabia\Kuwait\Jordan\Oman\Yemen\United Arab Emirates\Mauritania\Somalia\Libya\Qatar\Algeria\Morocco\Iraq\Lebanon\Tunisia\Djibouti\Sudan\Syria\Egypt,20,314783974,1580000,8222,70.73328299264087,2640.88512514,2989.8288128000004,1.3488823E10
AL,Arab League,1945-03-22,POINT(31.234722 30.044167),31.234721999999998,"30.044167, 31.234722",30.044166999999998,Headquarters of the Arab League,,0,0,0,0,0.0,0.0,0.0,0.0
AMU,Arab Maghreb Union,1989-02-17,POINT(-6.836111111 34.025277777),-6.836111111,"34.025277777, -6.836111111",34.025277777,Rabat,Mauritania\Libya\Algeria\Morocco\Tunisia,5,82943295,711000,397,14.027835370636,725.5560552,875.0565296999999,5.78214E9
