area,PIB_par_hbt,government,name,car_code,memberships,nombre_appartenances,population,religion_principale,langue_principale,PIB_national,Soldats_2017,DepensesMilitairesPIB_2018,MortsGuerre_2018,Exportations_2018,Importations_2018
28750.0,4100.0,emerging democracy,Albania,AL,BSEC\CE\CCC\ECE\EBRD\FAO\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\IFAD\ILO\IMO\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\IDB\ANC\OSCE\OIC\PFP\UN\UNESCO\UNIDO\UNOMIG\UPU\WFTU\WHO\WIPO\WMO\WToO\WTrO,38,3249136,Muslim,,1.33214576E10,9000,1.17890055828841,0,1097.548637,543.1750914
131940.0,101700.0,parliamentary republic,Greece,GR,BIS\BSEC\CE\CCC\ECE\EBRD\EIB\CERN\EU\FAO\G-6\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNESCO\UNIDO\UNIKOM\MINURSO\UNOMIG\UNHCR\UPU\WEU\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,57,10538594,Christian Orthodox,Greek,1.0717750098E12,146000,2.3852815561237,0,336.7979322,191.0627759
25333.0,1900.0,emerging democracy,Macedonia,MK,CEI\CE\CCC\ECE\EBRD\EU\FAO\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\IFAD\ILO\IMO\IMF\IOC\ITU\Intelsat\OSCE\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WTrO,29,2104035,Christian Orthodox,Macedonian,3.9976665E9,0,0.0,0,0.0,0.0
77474.0,52180.0,parliamentary democracy,Serbia,SRB,BSEC\CE\CEI\EBRD\FAO\G-9\IAEA\IBRD\ICAO\ICC\ICRM\IDA\IFC\IFRCS\ILO\IMF\IMO\Interpol\IOC\IOM\ISO\ITU\OSCE\PCA\PFP\UN\UNESCO\UNHCR\UNIDO\UPU\WCL\WFTU\WHO\WIPO\WMO,34,7379339,Christian Orthodox,Serbian,3.8505390902E11,32000,1.90613603424839,0,1115.873861,697.4524387
14026.0,4515.0,parliamentary democracy,Montenegro,MNE,CE\CEI\EBRD\FAO\IAEA\IBRD\ICAO\ICRM\IDA\IFC\IFRCS\ILO\IMF\IMO\Interpol\IOC\IOM\ISO\ITU\OSCE\PCA\PFP\UN\UNESCO\UNHCR\UNIDO\UPU\WFTU\WHO\WIPO\WMO,30,672180,Christian Orthodox,Serbian,3.0348927E9,12000,1.54646437082941,0,0.0,0.0
10887.0,3237.0,republic,Kosovo,KOS,,0,1804838,Muslim,Albanian,5.842260606E9,0,0.795344788911837,0,0.0,0.0
450.0,1000.0,parliamentary democracy that retains as its heads of state a coprincipality,Andorra,AND,CE\ECE\Interpol\IFRCS\IOC\ITU\UN\UNESCO\WIPO,8,72766,Roman Catholic,Catalan,7.2766E7,0,0.0,0,268.3504314,136.5066754
547030.0,1173000.0,republic,France,F,AfDB\ACCT\AG\AsDB\BIS\CDB\BDEAC\CE\CCC\ESCAP\ECA\ECE\ECLAC\EBRD\EIB\CERN\ESA\EU\FAO\FZ\G-5\G-7\G-8\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\SPC\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UNITAR\UNIFIL\UNIKOM\MINURSO\UNMIH\UNOMIG\UNHCR\UNPREDEP\UNPROFOR\UNRWA\UNTSO\UNU\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,82,58317450,Roman Catholic,French,6.840636885E13,307000,2.29394279932913,4,178.0502647,198.9184404
504750.0,565000.0,parliamentary monarchy,Spain,E,AfDB\AG\AsDB\BIS\CE\CCC\ECE\ECLAC\EBRD\EIB\CERN\ESA\EU\FAO\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\LAIA\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNCRO\UNESCO\UNIDO\UNHCR\UNPREDEP\UNPROFOR\UNU\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,64,39181114,Roman Catholic,Spanish,2.213732941E13,196000,1.27309096099574,0,300.2324015,249.1341111
83850.0,152000.0,federal republic,Austria,A,AfDB\AG\AsDB\BIS\CEI\CE\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-9\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\ANC\EN\NSG\OECD\OSCE\OAS\PFP\PCA\UN\UNAMIR\UNDOF\UNESCO\UNFICYP\UNIDO\UNIKOM\MINURSO\UNMIH\UNMOT\UNOMIG\UNHCR\UNTSO\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,68,8023244,Roman Catholic,German,1.219533088E12,21000,0.735992539307036,0,273.6245644,268.2551756
